sample_id,step,hot_set_overlap,churn_rate,spearman_rank_corr
local_01,0,nan,nan,nan
local_01,1,1.0,0.0,0.9428571428571428
local_01,2,0.5,0.5,0.7035714285714285
local_01,3,1.0,0.0,0.8892857142857141
local_02,0,nan,nan,nan
local_02,1,1.0,0.0,0.9384615384615385
local_02,2,1.0,0.0,0.9868131868131869
local_02,3,1.0,0.0,0.9780219780219781
local_03,0,nan,nan,nan
local_03,1,1.0,0.0,0.9384615384615385
local_03,2,1.0,0.0,0.9780219780219781
local_03,3,1.0,0.0,0.9604395604395607
local_04,0,nan,nan,nan
local_04,1,1.0,0.0,0.9824175824175824
local_04,2,1.0,0.0,0.9868131868131869
local_04,3,1.0,0.0,0.9912087912087912
local_05,0,nan,nan,nan
local_05,1,1.0,0.0,0.9384615384615385
local_05,2,1.0,0.0,0.9604395604395607
local_05,3,1.0,0.0,0.9824175824175824
local_06,0,nan,nan,nan
local_06,1,1.0,0.0,0.9252747252747253
local_06,2,1.0,0.0,0.9912087912087912
local_06,3,1.0,0.0,0.9912087912087912
local_07,0,nan,nan,nan
local_07,1,1.0,0.0,0.9648351648351648
local_07,2,1.0,0.0,0.9868131868131869
local_07,3,0.5,0.5,0.7035714285714285
local_08,0,nan,nan,nan
local_08,1,1.0,0.0,0.9516483516483516
local_08,2,1.0,0.0,0.9736263736263736
local_08,3,0.5,0.5,0.6964285714285713
local_09,0,nan,nan,nan
local_09,1,1.0,0.0,0.9032967032967033
local_09,2,0.5,0.5,0.682142857142857
local_09,3,1.0,0.0,0.9214285714285713
local_10,0,nan,nan,nan
local_10,1,1.0,0.0,0.9384615384615385
local_10,2,1.0,0.0,0.9780219780219781
local_10,3,1.0,0.0,0.9780219780219781
early_recall_01,0,nan,nan,nan
early_recall_01,1,1.0,0.0,0.9736263736263736
early_recall_01,2,1.0,0.0,0.9824175824175824
early_recall_01,3,1.0,0.0,0.9912087912087912
early_recall_02,0,nan,nan,nan
early_recall_02,1,1.0,0.0,0.9780219780219781
early_recall_02,2,1.0,0.0,0.9912087912087912
early_recall_02,3,1.0,0.0,0.9868131868131869
early_recall_03,0,nan,nan,nan
early_recall_03,1,1.0,0.0,0.9868131868131869
early_recall_03,2,1.0,0.0,0.9824175824175824
early_recall_03,3,1.0,0.0,0.9868131868131869
early_recall_04,0,nan,nan,nan
early_recall_04,1,1.0,0.0,0.9692307692307693
early_recall_04,2,1.0,0.0,0.9384615384615385
early_recall_04,3,1.0,0.0,0.9428571428571428
early_recall_05,0,nan,nan,nan
early_recall_05,1,1.0,0.0,0.9736263736263736
early_recall_05,2,1.0,0.0,0.9604395604395607
early_recall_05,3,1.0,0.0,0.9824175824175824
early_recall_06,0,nan,nan,nan
early_recall_06,1,1.0,0.0,0.9736263736263736
early_recall_06,2,1.0,0.0,0.9912087912087912
early_recall_06,3,1.0,0.0,0.9868131868131869
early_recall_07,0,nan,nan,nan
early_recall_07,1,1.0,0.0,0.9956043956043955
early_recall_07,2,1.0,0.0,0.9912087912087912
early_recall_07,3,1.0,0.0,0.9736263736263736
early_recall_08,0,nan,nan,nan
early_recall_08,1,1.0,0.0,0.9604395604395607
early_recall_08,2,1.0,0.0,0.9604395604395607
early_recall_08,3,1.0,0.0,0.9868131868131869
early_recall_09,0,nan,nan,nan
early_recall_09,1,1.0,0.0,0.9736263736263736
early_recall_09,2,1.0,0.0,0.9956043956043955
early_recall_09,3,1.0,0.0,0.9956043956043955
early_recall_10,0,nan,nan,nan
early_recall_10,1,1.0,0.0,0.9780219780219781
early_recall_10,2,1.0,0.0,0.9824175824175824
early_recall_10,3,1.0,0.0,1.0
middle_recall_01,0,nan,nan,nan
middle_recall_01,1,1.0,0.0,0.9384615384615385
middle_recall_01,2,1.0,0.0,0.8461538461538461
middle_recall_01,3,1.0,0.0,0.9296703296703297
middle_recall_02,0,nan,nan,nan
middle_recall_02,1,1.0,0.0,0.7054945054945055
middle_recall_02,2,1.0,0.0,0.7714285714285714
middle_recall_02,3,1.0,0.0,0.9472527472527472
middle_recall_03,0,nan,nan,nan
middle_recall_03,1,1.0,0.0,0.8065934065934066
middle_recall_03,2,1.0,0.0,0.8197802197802198
middle_recall_03,3,1.0,0.0,0.9604395604395607
middle_recall_04,0,nan,nan,nan
middle_recall_04,1,1.0,0.0,0.8549450549450549
middle_recall_04,2,1.0,0.0,0.8989010989010989
middle_recall_04,3,1.0,0.0,0.9472527472527472
middle_recall_05,0,nan,nan,nan
middle_recall_05,1,1.0,0.0,0.8065934065934066
middle_recall_05,2,1.0,0.0,0.8241758241758241
middle_recall_05,3,1.0,0.0,0.9604395604395607
middle_recall_06,0,nan,nan,nan
middle_recall_06,1,1.0,0.0,0.8637362637362638
middle_recall_06,2,1.0,0.0,0.8109890109890111
middle_recall_06,3,1.0,0.0,0.9076923076923077
middle_recall_07,0,nan,nan,nan
middle_recall_07,1,1.0,0.0,0.8813186813186813
middle_recall_07,2,1.0,0.0,0.8197802197802198
middle_recall_07,3,1.0,0.0,0.9736263736263736
middle_recall_08,0,nan,nan,nan
middle_recall_08,1,1.0,0.0,0.8857142857142857
middle_recall_08,2,1.0,0.0,0.8637362637362638
middle_recall_08,3,1.0,0.0,0.9604395604395607
middle_recall_09,0,nan,nan,nan
middle_recall_09,1,1.0,0.0,0.956043956043956
middle_recall_09,2,1.0,0.0,0.8593406593406594
middle_recall_09,3,1.0,0.0,0.9296703296703297
middle_recall_10,0,nan,nan,nan
middle_recall_10,1,1.0,0.0,0.7494505494505495
middle_recall_10,2,1.0,0.0,0.8373626373626375
middle_recall_10,3,1.0,0.0,0.9384615384615385
comparison_01,0,nan,nan,nan
comparison_01,1,1.0,0.0,0.9714285714285713
comparison_01,2,1.0,0.0,0.9464285714285712
comparison_01,3,1.0,0.0,0.9785714285714284
comparison_02,0,nan,nan,nan
comparison_02,1,1.0,0.0,0.8857142857142855
comparison_02,2,1.0,0.0,0.9357142857142854
comparison_02,3,1.0,0.0,0.9714285714285713
comparison_03,0,nan,nan,nan
comparison_03,1,1.0,0.0,0.9249999999999998
comparison_03,2,1.0,0.0,0.9571428571428571
comparison_03,3,1.0,0.0,0.9892857142857142
comparison_04,0,nan,nan,nan
comparison_04,1,1.0,0.0,0.9607142857142855
comparison_04,2,1.0,0.0,0.9928571428571428
comparison_04,3,1.0,0.0,0.9928571428571428
comparison_05,0,nan,nan,nan
comparison_05,1,1.0,0.0,0.9571428571428571
comparison_05,2,1.0,0.0,0.9535714285714283
comparison_05,3,1.0,0.0,1.0
comparison_06,0,nan,nan,nan
comparison_06,1,1.0,0.0,0.9285714285714284
comparison_06,2,1.0,0.0,0.95
comparison_06,3,1.0,0.0,0.9678571428571429
comparison_07,0,nan,nan,nan
comparison_07,1,1.0,0.0,0.932142857142857
comparison_07,2,1.0,0.0,0.9714285714285713
comparison_07,3,1.0,0.0,0.9535714285714283
comparison_08,0,nan,nan,nan
comparison_08,1,1.0,0.0,0.95
comparison_08,2,1.0,0.0,0.9714285714285713
comparison_08,3,1.0,0.0,0.9857142857142854
comparison_09,0,nan,nan,nan
comparison_09,1,1.0,0.0,0.9035714285714285
comparison_09,2,1.0,0.0,0.9642857142857141
comparison_09,3,1.0,0.0,0.9749999999999999
comparison_10,0,nan,nan,nan
comparison_10,1,1.0,0.0,0.9857142857142854
comparison_10,2,1.0,0.0,0.9607142857142855
comparison_10,3,1.0,0.0,0.9642857142857141
